iter	Passed	Remaining
201	697	2753
202	700	2749
203	703	2744
204	706	2739
205	709	2733
206	712	2728
207	715	2723
208	718	2719
209	721	2714
210	724	2710
211	727	2704
212	730	2699
213	734	2696
214	737	2691
215	740	2688
216	743	2683
217	746	2678
218	749	2673
219	752	2669
220	755	2664
221	759	2660
222	762	2656
223	765	2652
224	768	2648
225	771	2643
226	774	2638
227	778	2634
228	781	2629
229	784	2624
230	786	2619
231	789	2615
232	793	2610
233	796	2607
234	799	2603
235	803	2600
236	806	2596
237	810	2594
238	813	2591
239	817	2588
240	821	2587
241	825	2584
242	829	2583
243	833	2581
244	836	2578
245	840	2575
246	844	2573
247	848	2571
248	851	2569
249	855	2566
250	859	2566
251	863	2564
252	867	2561
253	871	2558
254	874	2555
255	878	2552
256	882	2550
257	885	2547
258	889	2544
259	892	2541
260	896	2537
261	899	2534
262	903	2532
263	908	2533
264	912	2529
265	915	2527
266	921	2531
267	925	2528
268	929	2526
269	933	2523
270	936	2520
271	941	2519
272	944	2516
273	948	2513
274	954	2517
275	959	2515
276	962	2513
277	966	2509
278	970	2507
279	974	2505
280	978	2502
281	981	2499
282	985	2496
283	989	2493
284	992	2491
285	996	2488
286	1000	2484
287	1003	2481
288	1007	2478
289	1010	2474
290	1014	2472
291	1018	2469
292	1022	2466
293	1026	2464
294	1029	2461
295	1033	2458
296	1037	2456
297	1041	2452
298	1045	2450
299	1050	2450
300	1054	2448
301	1058	2445
302	1061	2442
303	1065	2439
304	1070	2438
305	1073	2435
306	1077	2432
307	1081	2430
308	1085	2427
309	1089	2425
310	1093	2422
311	1097	2420
312	1101	2417
313	1104	2413
314	1108	2410
315	1112	2408
316	1116	2406
317	1121	2404
318	1125	2402
319	1129	2399
320	1132	2396
321	1136	2393
322	1140	2390
323	1144	2388
324	1148	2385
325	1151	2381
326	1155	2379
327	1159	2376
328	1163	2372
329	1167	2369
330	1170	2366
331	1174	2362
332	1178	2360
333	1182	2357
334	1186	2354
335	1189	2351
336	1194	2349
337	1198	2347
338	1202	2344
339	1206	2341
340	1209	2337
341	1214	2335
342	1217	2332
343	1222	2330
344	1226	2328
345	1230	2325
346	1234	2322
347	1237	2319
348	1241	2315
349	1245	2313
350	1249	2310
351	1254	2308
352	1258	2306
353	1263	2305
354	1268	2303
355	1271	2300
356	1275	2297
357	1279	2294
358	1283	2292
359	1287	2289
360	1291	2285
361	1295	2282
362	1298	2279
363	1302	2275
364	1306	2272
365	1310	2269
366	1313	2266
367	1317	2263
368	1321	2260
369	1325	2257
370	1329	2254
371	1333	2250
372	1336	2247
373	1340	2243
374	1344	2241
375	1348	2237
376	1352	2235
377	1356	2232
378	1360	2229
379	1364	2226
380	1367	2222
381	1371	2219
382	1375	2215
383	1379	2212
384	1383	2209
385	1387	2206
386	1391	2203
387	1395	2201
388	1399	2198
389	1403	2195
390	1407	2192
391	1411	2189
392	1415	2185
393	1418	2182
394	1422	2178
395	1426	2175
396	1430	2172
397	1433	2168
398	1437	2165
399	1441	2162
400	1445	2159
401	1449	2156
402	1453	2153
403	1457	2149
404	1461	2147
405	1467	2146
406	1470	2142
407	1474	2139
408	1478	2135
409	1481	2132
410	1485	2128
411	1489	2125
412	1493	2122
413	1497	2119
414	1501	2117
415	1506	2114
416	1511	2112
417	1515	2110
418	1520	2107
419	1523	2103
420	1527	2100
421	1530	2096
422	1534	2093
423	1538	2090
424	1543	2087
425	1546	2084
426	1550	2081
427	1554	2077
428	1557	2073
429	1562	2071
430	1566	2068
431	1570	2064
432	1574	2061
433	1577	2057
434	1582	2054
435	1585	2051
436	1589	2047
437	1593	2044
438	1596	2040
439	1600	2036
440	1604	2033
441	1609	2031
442	1612	2027
443	1616	2024
444	1620	2020
445	1623	2017
446	1627	2013
447	1631	2010
448	1636	2007
449	1639	2004
450	1643	2000
451	1646	1996
452	1650	1992
453	1654	1989
454	1657	1985
455	1661	1982
456	1665	1978
457	1669	1975
458	1673	1971
459	1677	1968
460	1680	1965
461	1684	1961
462	1688	1957
463	1691	1954
464	1695	1950
465	1698	1946
466	1702	1942
467	1706	1939
468	1709	1935
469	1713	1932
470	1717	1928
471	1721	1925
472	1724	1921
473	1728	1918
474	1731	1914
475	1735	1910
476	1739	1907
477	1743	1903
478	1746	1899
479	1750	1896
480	1753	1892
481	1757	1888
482	1764	1889
483	1768	1885
484	1772	1881
485	1775	1877
486	1779	1874
487	1783	1871
488	1788	1868
489	1792	1865
490	1796	1862
491	1800	1859
492	1804	1855
493	1808	1851
494	1811	1848
495	1815	1845
496	1819	1841
497	1823	1837
498	1826	1834
499	1830	1830
500	1834	1826
501	1838	1823
502	1841	1819
503	1845	1816
504	1849	1812
505	1853	1809
506	1857	1806
507	1861	1802
508	1864	1798
509	1868	1795
510	1872	1791
511	1876	1788
512	1879	1784
513	1883	1780
514	1887	1777
515	1890	1773
516	1894	1769
517	1898	1766
518	1901	1762
519	1905	1759
520	1909	1755
521	1916	1754
522	1920	1751
523	1923	1747
524	1927	1744
525	1931	1740
526	1935	1737
527	1939	1733
528	1943	1730
529	1946	1726
530	1950	1722
531	1954	1719
532	1958	1715
533	1962	1712
534	1965	1708
535	1969	1705
536	1973	1701
537	1977	1697
538	1980	1694
539	1984	1690
540	1988	1686
541	1991	1683
542	1995	1679
543	1998	1675
544	2002	1671
545	2006	1668
546	2009	1664
547	2014	1661
548	2017	1657
549	2021	1653
550	2024	1649
551	2028	1646
552	2033	1643
553	2037	1640
554	2041	1637
555	2045	1633
556	2049	1629
557	2053	1626
558	2057	1623
559	2061	1619
560	2064	1615
561	2069	1612
562	2073	1609
563	2077	1605
564	2080	1601
565	2084	1598
566	2088	1594
567	2092	1591
568	2095	1587
569	2099	1583
570	2105	1582
571	2109	1578
572	2113	1574
573	2117	1571
574	2121	1567
575	2124	1564
576	2128	1560
577	2133	1557
578	2137	1554
579	2141	1550
580	2145	1547
581	2148	1543
582	2152	1539
583	2157	1536
584	2160	1532
585	2165	1529
586	2168	1526
587	2172	1522
588	2176	1518
589	2180	1514
590	2183	1511
591	2187	1507
592	2190	1503
593	2193	1499
594	2197	1495
595	2200	1491
596	2203	1487
597	2207	1483
598	2211	1480
599	2215	1476
600	2218	1473
601	2222	1469
602	2226	1465
603	2229	1461
604	2233	1457
605	2236	1454
606	2240	1450
607	2243	1446
608	2248	1443
609	2252	1440
610	2256	1436
611	2259	1432
612	2262	1428
613	2265	1424
614	2269	1420
615	2272	1416
616	2275	1412
617	2278	1408
618	2281	1404
619	2284	1400
620	2287	1395
621	2290	1391
622	2293	1388
623	2297	1384
624	2300	1380
625	2303	1376
626	2306	1372
627	2309	1368
628	2312	1364
629	2315	1360
630	2319	1356
631	2322	1352
632	2325	1348
633	2328	1344
634	2331	1340
635	2334	1336
636	2337	1332
637	2340	1328
638	2343	1324
639	2347	1320
640	2350	1316
641	2353	1312
642	2356	1308
643	2359	1304
644	2362	1300
645	2365	1296
646	2369	1292
647	2372	1288
648	2375	1284
649	2378	1280
650	2381	1276
651	2384	1272
652	2387	1268
653	2390	1264
654	2393	1260
655	2397	1257
656	2400	1253
657	2403	1249
658	2406	1245
659	2409	1241
660	2412	1237
661	2415	1233
662	2418	1229
663	2421	1225
664	2424	1221
665	2427	1217
666	2430	1213
667	2433	1209
668	2436	1205
669	2440	1201
670	2443	1197
671	2446	1193
672	2449	1190
673	2452	1186
674	2455	1182
675	2458	1178
676	2461	1174
677	2464	1170
678	2467	1166
679	2471	1162
680	2474	1158
681	2477	1155
682	2480	1151
683	2483	1147
684	2486	1143
685	2489	1139
686	2492	1135
687	2495	1131
688	2498	1127
689	2501	1124
690	2504	1120
691	2507	1116
692	2510	1112
693	2513	1108
694	2516	1104
695	2519	1100
696	2522	1096
697	2526	1093
698	2529	1089
699	2532	1085
700	2535	1081
701	2538	1077
702	2541	1073
703	2545	1070
704	2548	1066
705	2551	1062
706	2554	1058
707	2557	1054
708	2561	1051
709	2564	1047
710	2567	1043
711	2571	1039
712	2574	1036
713	2578	1032
714	2582	1029
715	2586	1025
716	2589	1022
717	2593	1018
718	2597	1015
719	2600	1011
720	2604	1007
721	2608	1004
722	2611	1000
723	2615	997
724	2619	993
725	2623	990
726	2627	986
727	2631	983
728	2635	979
729	2638	975
730	2642	972
731	2646	968
732	2648	964
733	2651	961
734	2654	957
735	2658	953
736	2660	949
737	2664	945
738	2667	942
739	2670	938
740	2673	934
741	2676	930
742	2679	926
743	2683	923
744	2686	919
745	2688	915
746	2692	911
747	2695	908
748	2698	904
749	2701	900
750	2704	896
751	2707	892
752	2710	889
753	2713	885
754	2716	881
755	2719	877
756	2722	874
757	2725	870
758	2728	866
759	2732	862
760	2735	859
761	2738	855
762	2741	851
763	2744	847
764	2747	844
765	2750	840
766	2753	836
767	2756	832
768	2760	829
769	2763	825
770	2766	821
771	2769	818
772	2773	814
773	2776	810
774	2780	807
775	2784	803
776	2788	800
777	2791	796
778	2795	792
779	2798	789
780	2802	785
781	2805	782
782	2808	778
783	2812	774
784	2816	771
785	2819	767
786	2823	764
787	2827	760
788	2831	757
789	2835	753
790	2839	750
791	2844	746
792	2850	744
793	2854	740
794	2860	737
795	2865	734
796	2870	731
797	2874	727
798	2878	724
799	2882	720
800	2886	717
801	2890	713
802	2893	709
803	2897	706
804	2901	702
805	2905	699
806	2909	695
807	2912	692
808	2917	688
809	2921	685
810	2924	681
811	2928	678
812	2932	674
813	2936	670
814	2939	667
815	2943	663
816	2947	660
817	2950	656
818	2954	653
819	2958	649
820	2962	645
821	2966	642
822	2970	638
823	2974	635
824	2978	631
825	2982	628
826	2986	624
827	2990	621
828	2994	617
829	2998	614
830	3001	610
831	3006	607
832	3010	603
833	3015	600
834	3019	596
835	3023	593
836	3027	589
837	3031	586
838	3035	582
839	3038	578
840	3042	575
841	3046	571
842	3051	568
843	3054	564
844	3058	561
845	3062	557
846	3065	553
847	3069	550
848	3073	546
849	3076	542
850	3080	539
851	3084	535
852	3087	532
853	3091	528
854	3095	524
855	3099	521
856	3102	517
857	3106	514
858	3110	510
859	3113	506
860	3117	503
861	3121	499
862	3125	496
863	3129	492
864	3133	488
865	3137	485
866	3140	481
867	3144	478
868	3149	474
869	3153	471
870	3157	467
871	3161	464
872	3165	460
873	3169	456
874	3173	453
875	3177	449
876	3180	446
877	3184	442
878	3188	438
879	3192	435
880	3196	431
881	3200	428
882	3204	424
883	3208	421
884	3212	417
885	3216	413
886	3219	410
887	3223	406
888	3228	403
889	3231	399
890	3235	395
891	3239	392
892	3242	388
893	3246	384
894	3250	381
895	3253	377
896	3257	374
897	3261	370
898	3265	366
899	3269	363
900	3272	359
901	3276	356
902	3280	352
903	3284	348
904	3288	345
905	3292	341
906	3296	337
907	3299	334
908	3303	330
909	3307	327
910	3311	323
911	3314	319
912	3317	316
913	3320	312
914	3324	308
915	3327	305
916	3330	301
917	3334	297
918	3338	294
919	3343	290
920	3346	287
921	3350	283
922	3355	279
923	3358	276
924	3362	272
925	3367	269
926	3371	265
927	3374	261
928	3378	258
929	3382	254
930	3385	250
931	3389	247
932	3393	243
933	3397	240
934	3402	236
935	3405	232
936	3409	229
937	3413	225
938	3417	222
939	3422	218
940	3425	214
941	3429	211
942	3433	207
943	3437	203
944	3441	200
945	3445	196
946	3449	193
947	3453	189
948	3457	185
949	3461	182
950	3464	178
951	3468	174
952	3472	171
953	3476	167
954	3480	164
955	3484	160
956	3488	156
957	3492	153
958	3496	149
959	3500	145
960	3503	142
961	3507	138
962	3511	134
963	3514	131
964	3518	127
965	3522	123
966	3525	120
967	3529	116
968	3533	113
969	3536	109
970	3541	105
971	3545	102
972	3548	98
973	3552	94
974	3556	91
975	3560	87
976	3564	83
977	3567	80
978	3571	76
979	3575	72
980	3579	69
981	3582	65
982	3586	62
983	3590	58
984	3594	54
985	3597	51
986	3601	47
987	3605	43
988	3608	40
989	3612	36
990	3616	32
991	3620	29
992	3624	25
993	3627	21
994	3632	18
995	3635	14
996	3638	10
997	3641	7
998	3644	3
999	3647	0
