iter	Logloss
0	0.6640609985
1	0.632705936
2	0.601895484
3	0.5774262616
4	0.5515926802
5	0.52599786
6	0.5021856279
7	0.4840861418
8	0.4647215582
9	0.4474463661
10	0.4294324339
11	0.4152732922
12	0.4012982698
13	0.390402213
14	0.3757039821
15	0.3632014337
16	0.3521208235
17	0.3420320335
18	0.331639708
19	0.3206260649
20	0.3111853544
21	0.3030374629
22	0.2941102537
23	0.2858470624
24	0.2791207226
25	0.2722049382
26	0.2645054804
27	0.2587217189
28	0.2527382785
29	0.2482428362
30	0.2431569336
31	0.239208104
32	0.2357740796
33	0.2317818703
34	0.2278232152
35	0.2242418778
36	0.220217359
37	0.217132958
38	0.2134254455
39	0.21068404
40	0.207265201
41	0.2049104693
42	0.2020599377
43	0.1993907061
44	0.1965828292
45	0.1942972634
46	0.1920606765
47	0.1891471337
48	0.186761447
49	0.1848551825
50	0.182885889
51	0.1814748218
52	0.1795091133
53	0.1773269454
54	0.1754028762
55	0.1739608113
56	0.1720033733
57	0.1700911207
58	0.1679486564
59	0.1665227418
60	0.1650876164
61	0.1633769614
62	0.1619984122
63	0.1605963652
64	0.1590010072
65	0.1577898458
66	0.1563651518
67	0.1549373135
68	0.1535890063
69	0.1526128762
70	0.1509923082
71	0.1499722504
72	0.1486034665
73	0.1475838757
74	0.1463705138
75	0.1453154926
76	0.1441798325
77	0.1432900225
78	0.1423203084
79	0.1411835997
80	0.1400915973
81	0.1390949066
82	0.1380927848
83	0.1368768557
84	0.1358037173
85	0.134775994
86	0.1338148889
87	0.1330907018
88	0.1322748754
89	0.1314878257
90	0.1305195547
91	0.1296844253
92	0.1290105818
93	0.1282498498
94	0.1275001753
95	0.1268557491
96	0.1261419683
97	0.1252312508
98	0.1245349438
99	0.1238532296
100	0.1231015671
101	0.1222566225
102	0.1214997321
103	0.1206833466
104	0.1200054999
105	0.1194063757
106	0.1187331296
107	0.1178364062
108	0.1172155558
109	0.1165137569
110	0.1158687543
111	0.1153932965
112	0.1144851752
113	0.1139521286
114	0.1132998971
115	0.1127245378
116	0.1120777741
117	0.1114517515
118	0.1107153922
119	0.1102168621
120	0.1095856538
121	0.108905655
122	0.1082748846
123	0.1076521505
124	0.1071357959
125	0.1066265004
126	0.1059823693
127	0.1055045552
128	0.1048215123
129	0.1042832457
130	0.1038196667
131	0.1034404621
132	0.1028503318
133	0.102366609
134	0.1018385532
135	0.10148423
136	0.1009508548
137	0.1003858797
138	0.09998383048
139	0.09939929221
140	0.09903204098
141	0.09851613827
142	0.09809275652
143	0.09764091374
144	0.09715692184
145	0.09667167513
146	0.09619689933
147	0.09578729406
148	0.09529609532
149	0.09486897183
150	0.09448817093
151	0.09410566494
152	0.09356527299
153	0.09317674993
154	0.09275304074
155	0.09242061081
156	0.09203479943
157	0.09165682182
158	0.09132971785
159	0.09088936891
160	0.09049077357
161	0.09003613679
162	0.0895657649
163	0.08921934352
164	0.08885899748
165	0.08860048346
166	0.08821081094
167	0.0878073166
168	0.08742583022
169	0.08718940523
170	0.08686056619
171	0.08657757464
172	0.0862297345
173	0.08584685751
174	0.08553450995
175	0.08506857586
176	0.08476460388
177	0.08438565044
178	0.08408419498
179	0.08383389211
180	0.08355031276
181	0.0833166393
182	0.08299073066
183	0.08258026656
